Libellé Diplôme Apogée;Libellé Diplôme ORI-OAI
DOCTORAT SC DU MANAGEMENT MENTION SCIENCES DE GESTION;DOCTORAT SCIENCES DU MANAGEMENT - Mention SCIENCES DE GESTION
DOCTORAT DEA MENTION DROIT SPECIALITE DROIT PUBLIC;DOCTORAT DROIT, ECONOMIE, ADMINISTRATION - Mention DROIT - Spécialité DROIT PUBLIC
DOCT DEA DROIT DRT PRIVE;DOCTORAT DROIT, ECONOMIE, ADMINISTRATION - Mention DROIT - Spécialité DROIT PRIVE
DOCTORAT DROIT, ECONOMIE, ADMINISTRATION MEN SC ECONOMIQUES;DOCTORAT DROIT, ECONOMIE, ADMINISTRATION - Mention SCIENCES ECONOMIQUES
DU CAPEPS;DU CAPEPS
DOCT LLASH MENTION LANGUES ET LITTERATURES SPE  ANGLAISES;DOCTORAT LLASH - Mention LANGUES ET LITTERATURES - Spécialité ANGLAISES
DOCT LLASH MENTION ARTS;DOCTORAT LLASH - Mention ARTS
DOCT LLASH MENTION LANGUES & LITTERATURES SPE GERMANIQUES;DOCTORAT LLASH - Mention LANGUES ET LITTERATURES - Spécialité GERMANIQUES
DOCT LLASH MENTION HISTOIRE ET CIVILISATIONS SPE HAMAN;DOCTORAT LLASH - Mention HISTOIRE ET CIVILISATIONS - Spécialité HISTOIRE DE L'ART DES MONDES ANCIENS
DOCT LLASH MENTION HISTOIRE ET CIVILISATIONS SPE HIS MODERNE;DOCTORAT LLASH - Mention HISTOIRE ET CIVILISATIONS - Spécialité HISTOIRE MODERNE
DOCT LLASH MENTION LANGUES ET LITTERATURES SPE LIT COMPAREES;DOCTORAT LLASH - Mention LANGUES ET LITTERATURES - Spécialité LITTERATURES COMPAREES
DOCT LLASH MENTION LANGUES & LITTERATURES SPE LANG LITT ANC;DOCTORAT LLASH - Mention LANGUES ET LITTERATURES - Spécialité LANGUES ET LITTERATURES ANCIENNES
DOCT LLASH MENTION LANGUES ET LITTERATURES SPE LANG LITT FR;DOCTORAT LLASH - Mention LANGUES ET LITTERATURES - Spécialité LANGUE ET LITTERATURE FRANCAISES
DOCT LLASH SCIENCES DE L' INFORMATION  ET DE LA COMMUNICATIO;DOCTORAT LLASH - Mention SCIENCES DE L'INFORMATION  ET DE LA COMMUNICATION
DOCTORAT SCIENCES ET TECHNOLOGIE ACOUSTIQUE ET TELECOMMUNICA;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention ACOUSTIQUE ET TELECOMMUNICATIONS
DOCTORAT SCIENCES ET TECHNOLOGIE AUTOMATIQUE, GENIE INFORMAT;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention AUTOMATIQUE, GENIE INFORMATIQUE
DOCT SC ET TECH MENTION STAPS SPECIALITE BIOMECANIQUE;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention STAPS - Spécialité BIOMECANIQUE
DOCTORAT SCIENCES ET TECHNOLOGIE ENERGETIQUE ET MATERIAUX;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention ENERGETIQUE ET MATERIAUX
DOCTORAT SCIENCES ET TECHNOLOGIE GENIE CIVIL;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention GENIE CIVIL
DOCTORAT SCIENCES ET TECHNOLOGIES INFORMATIQUE;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention INFORMATIQUE
DOCT SC ET TECH MENTION MATHEMATIQUES SPE MATHS APPLIQUEES;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention MATHEMATIQUES - Spécialité MATHEMATIQUES APPLIQUEES
DOCTORAT  SCIENCES ET TECHNOLOGIE MECANIQUE;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention MECANIQUE
DOCTORAT SCIENCES ET TECHNOLOGIE MICRO ET NANO TECHNOLOGIE;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention MICRO ET NANO TECHNOLOGIE
DOCTORAT SCIENCES ET TECHNOLOGIE MATHEMATIQUES PURES;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention MATHEMATIQUES PURES
DOCT SC & TECH MENTION GME SPE SOLIDES ET STRUCTURES;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention GME - Spécialité SOLIDES ET STRUCTURES
DOCTORAT SC ET TECHNOLOGIE TRAITEMENT DU SIGNAL ET IMAGES;DOCTORAT SCIENCES ET TECHNOLOGIES - Mention TRAITEMENT DU SIGNAL ET IMAGES
